"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"738",760,798,84,28,21
"739",753,831,83,26,22
"740",0,1,0,0,0
"741",0,1,0,0,0
"742",0,1,0,0,0
"743",759,806,91,25,23
"744",742,834,80,30,18
"745",753,815,2,0,0
"746",751,787,87,26,25
"747",0,1,0,0,0
"748",0,1,0,0,0
"749",745,821,81,27,25
"750",746,830,83,27,22
"751",0,1,0,0,0
"752",0,1,0,0,0
"753",743,804,0,0,0
"754",758,818,80,23,19
"755",752,834,80,22,30
"756",762,815,87,31,25
"757",756,838,88,27,32
"758",752,797,93,23,31
"759",757,819,84,26,25
"760",754,801,78,29,23
"761",746,822,87,29,22
"762",0,0,0,0,0
"763",0,1,0,0,0
"764",741,816,74,28,24
"765",755,815,0,0,0
"766",756,824,85,33,26
"767",764,818,76,32,25
"768",766,831,0,0,0
"769",747,837,86,30,27
"770",747,797,0,0,0
"771",746,819,0,0,0
"772",752,836,91,27,26
"773",0,1,0,0,0
"774",0,1,0,0,0
"775",752,816,84,35,26
"776",755,810,0,1,1
"777",745,817,76,23,19
"778",739,813,0,0,0
"779",749,819,2,0,0
"780",763,829,84,31,30
"781",756,828,84,23,27
"782",743,832,80,34,21
"783",750,835,83,30,24
"784",744,822,0,0,0
"785",742,827,0,0,0
"786",731,820,87,25,26
"787",759,822,0,0,0
"788",746,810,83,28,34
"789",758,819,83,27,20
"790",758,844,76,33,26
"791",743,811,0,0,0
"792",744,836,85,25,21
"793",1,1,0,0,0
"794",752,795,83,30,22
"795",760,837,0,0,0
"796",747,825,86,29,20
"797",751,806,0,0,0
"798",757,823,0,0,0
"799",0,1,0,0,0
"800",0,1,0,0,0
"801",761,814,79,26,28
"802",752,802,84,30,24
"803",770,810,84,31,24
"804",0,1,0,0,0
"805",755,812,1,0,1
"806",751,836,0,0,0
"807",740,806,101,34,20
"808",746,833,84,28,31
"809",755,829,87,24,24
"810",761,822,83,29,29
"811",743,811,80,26,18
"812",747,822,0,1,0
"813",754,828,88,24,22
"814",746,811,0,0,0
"815",747,817,0,0,0
"816",765,800,87,31,31
"817",754,812,0,0,0
"818",0,1,0,0,0
"819",750,822,82,29,26
"820",751,814,80,31,23
"821",740,833,85,26,26
"822",747,829,0,0,0
"823",743,822,81,22,18
"824",754,818,75,27,24
"825",754,836,80,26,19
"826",745,824,0,0,0
"827",753,830,67,27,29
"828",744,829,79,28,29
"829",747,815,1,0,1
"830",760,841,85,23,31
"831",734,831,0,0,0
"832",0,1,0,0,0
"833",755,850,89,25,22
"834",750,798,0,0,0
"835",0,1,0,0,0
"836",742,826,88,30,25
"837",0,1,0,0,0
"838",755,819,0,0,0
"839",747,821,1,1,0
"840",755,831,2,0,1
"841",752,823,80,33,17
"842",0,1,0,0,0
"843",756,810,0,0,0
"844",3,2,0,0,0
"845",1,2,0,0,0
"846",744,818,83,27,22
"847",744,829,87,29,30
"848",0,1,0,0,0
"849",741,808,0,0,0
"850",759,794,87,34,29
"851",752,801,90,33,25
"852",759,826,88,30,27
"853",752,815,82,29,23
"854",759,805,86,26,22
"855",756,812,79,25,25
"856",744,830,0,0,0
"857",764,817,85,30,29
"858",753,817,3,0,0
"859",729,814,86,31,32
"860",741,778,91,28,27
"861",754,822,0,0,0
"862",754,840,81,23,25
"863",750,831,0,0,0
"864",764,832,79,27,32
"865",754,816,87,31,32
"866",0,1,0,0,0
"867",749,809,0,1,0
"868",729,805,0,0,0
"869",748,815,95,29,27
"870",0,1,0,0,0
"871",0,1,0,0,0
"872",755,819,77,26,26
"873",745,820,90,34,21
"874",746,802,78,26,22
"875",759,808,0,0,1
"876",760,819,81,23,26
"877",754,817,82,25,24
"878",761,819,0,1,0
"879",759,821,0,0,0
"880",753,816,78,25,29
"881",745,809,82,27,25
"882",0,1,0,0,0
"883",760,829,86,30,26
"884",3,0,0,0,0
"885",746,803,85,24,23
"886",758,838,89,32,26
"887",756,820,85,30,38
"888",749,824,82,34,23
"889",753,826,84,31,22
"890",757,825,92,31,23
"891",728,824,0,0,0
"892",758,810,85,23,28
"893",756,823,84,29,21
"894",0,1,0,0,0
"895",765,830,84,26,19
"896",743,834,0,0,0
"897",753,832,76,30,19
"898",749,837,82,30,27
"899",764,822,0,0,0
"900",736,811,77,30,19
"901",0,1,0,0,0
"902",747,826,82,30,20
"903",758,815,87,21,25
"904",746,828,85,33,30
"905",756,817,0,0,0
"906",739,819,90,33,20
"907",748,810,0,0,0
"908",750,819,81,23,31
"909",757,805,78,25,15
"910",747,840,84,32,27
"911",749,817,0,0,0
"912",755,837,0,0,0
"913",742,831,0,1,0
"914",756,838,0,0,0
"915",736,796,90,31,25
"916",754,824,80,28,23
"917",0,1,0,0,0
"918",748,833,0,0,0
"919",759,820,90,31,19
"920",0,1,0,0,0
"921",759,821,79,25,31
"922",738,815,89,30,31
"923",744,821,95,30,30
"924",754,806,0,0,0
"925",752,826,83,29,29
"926",744,813,0,1,0
"927",755,843,83,31,20
"928",0,1,0,0,0
"929",758,806,84,24,23
"930",758,819,77,28,26
"931",750,821,69,26,19
"932",750,834,90,29,25
"933",0,2,0,0,0
"934",752,821,84,30,22
"935",752,835,0,0,0
"936",755,833,0,0,0
"937",752,820,87,26,32
"938",759,834,83,27,28
"939",750,815,85,31,18
"940",754,810,78,33,20
"941",752,807,78,30,28
"942",750,822,0,0,0
"943",736,824,0,0,0
"944",739,810,0,0,0
"945",0,1,0,0,0
"946",0,1,0,0,0
"947",0,1,0,0,0
"948",0,1,0,0,0
"949",759,809,87,27,22
"950",0,1,0,0,0
"951",739,816,2,0,0
"952",755,804,0,0,0
"953",751,826,88,26,27
"954",0,1,0,0,0
"955",749,820,83,27,22
"956",746,837,79,22,33
"957",737,809,85,26,24
